transport_id,module,objects_changed,lines_changed,conflicts,history_failures,transport_stage,change_request_status,risk_level
TR00072,MM,4,219,0,0,Development,Pending,MEDIUM
TR00073,FI,4,247,1,4,Quality,Approved,HIGH
TR00074,FI,1,35,1,3,Development,Rejected,HIGH
TR00075,FI,5,15,2,4,Development,Approved,HIGH
TR00076,HR,4,147,2,1,Quality,Approved,HIGH
TR00077,HR,4,228,1,2,Development,Approved,MEDIUM
TR00078,SD,3,112,2,4,Production,Pending,HIGH
TR00079,FI,1,116,2,0,Quality,Rejected,HIGH
TR00080,FI,4,225,0,3,Quality,Approved,HIGH
TR00081,HR,5,68,0,1,Production,Approved,LOW
TR00082,FI,6,297,0,3,Quality,Rejected,HIGH
TR00083,SD,1,122,1,4,Development,Pending,HIGH
TR00084,SD,2,122,2,1,Quality,Approved,HIGH
TR00085,HR,2,194,2,4,Production,Rejected,HIGH
TR00086,HR,6,51,0,4,Quality,Pending,HIGH
TR00087,FI,4,228,2,1,Production,Rejected,HIGH
TR00088,HR,1,226,1,4,Quality,Approved,HIGH
TR00089,HR,2,117,2,1,Development,Rejected,HIGH
TR00090,SD,6,183,0,3,Production,Approved,HIGH
TR00091,MM,5,218,2,3,Development,Approved,HIGH
TR00092,SD,3,148,1,3,Production,Pending,HIGH
TR00093,FI,4,237,0,1,Development,Rejected,HIGH
TR00094,FI,1,224,0,3,Production,Rejected,HIGH
TR00095,MM,5,121,2,0,Production,Pending,HIGH
TR00096,FI,1,76,1,0,Quality,Rejected,MEDIUM
TR00097,SD,6,55,2,4,Quality,Approved,HIGH
TR00098,FI,3,46,0,0,Development,Rejected,LOW
TR00099,FI,1,269,0,4,Quality,Rejected,HIGH
TR00100,SD,4,42,1,4,Development,Pending,HIGH
TR00101,MM,3,165,1,0,Production,Approved,MEDIUM
TR00102,SD,2,193,1,1,Quality,Pending,MEDIUM
TR00103,FI,6,39,1,4,Development,Pending,HIGH
TR00104,MM,3,177,1,1,Quality,Approved,MEDIUM
TR00105,SD,3,149,0,2,Development,Approved,MEDIUM
TR00106,HR,4,54,1,1,Quality,Pending,MEDIUM
TR00107,SD,3,292,1,2,Development,Approved,MEDIUM
TR00108,HR,6,165,1,0,Quality,Pending,MEDIUM
TR00109,FI,2,161,0,1,Production,Rejected,HIGH
TR00110,SD,3,240,2,1,Quality,Rejected,HIGH
TR00111,HR,2,237,1,2,Development,Approved,MEDIUM
TR00112,SD,2,237,0,3,Development,Approved,HIGH
TR00113,FI,6,119,1,4,Quality,Rejected,HIGH
TR00114,HR,6,209,1,4,Quality,Pending,HIGH
TR00115,HR,4,225,2,1,Development,Approved,HIGH
TR00116,MM,3,116,2,0,Production,Rejected,HIGH
TR00117,HR,5,49,1,1,Production,Pending,MEDIUM
TR00118,MM,1,244,0,0,Production,Rejected,MEDIUM
TR00119,MM,1,187,1,0,Production,Rejected,MEDIUM
TR00120,SD,4,86,1,2,Quality,Pending,MEDIUM
TR00121,FI,3,196,2,3,Development,Pending,HIGH
TR00122,HR,1,25,2,2,Quality,Approved,HIGH
TR00123,SD,5,98,2,2,Development,Pending,HIGH
TR00124,SD,1,238,1,3,Development,Approved,HIGH
TR00125,SD,3,85,1,0,Production,Approved,MEDIUM
TR00126,MM,2,87,2,3,Production,Rejected,HIGH
TR00127,MM,3,129,1,1,Quality,Approved,MEDIUM
TR00128,HR,1,142,0,2,Quality,Approved,MEDIUM
TR00129,MM,4,11,1,2,Production,Pending,MEDIUM
TR00130,MM,3,282,1,0,Quality,Rejected,MEDIUM
TR00131,MM,4,87,0,0,Quality,Pending,MEDIUM
TR00132,HR,3,167,1,3,Production,Rejected,HIGH
TR00133,HR,4,201,1,0,Production,Rejected,MEDIUM
TR00134,HR,4,113,0,2,Quality,Approved,MEDIUM
TR00135,SD,2,268,0,4,Production,Approved,HIGH
TR00136,SD,2,114,0,0,Development,Approved,MEDIUM
TR00137,HR,5,207,0,2,Development,Approved,MEDIUM
TR00138,FI,6,201,0,4,Development,Approved,HIGH
TR00139,FI,1,39,0,0,Production,Approved,LOW
TR00140,FI,2,159,1,4,Production,Rejected,HIGH
TR00141,MM,3,31,2,3,Production,Rejected,HIGH
TR00142,HR,2,41,2,4,Quality,Rejected,HIGH
TR00143,HR,5,79,2,0,Quality,Pending,HIGH
TR00144,SD,5,125,0,4,Development,Pending,HIGH
TR00145,SD,4,42,2,2,Production,Approved,HIGH
TR00146,SD,1,287,1,3,Production,Approved,HIGH
TR00147,HR,5,31,2,0,Development,Approved,HIGH
TR00148,MM,6,107,2,1,Development,Pending,HIGH
TR00149,MM,2,48,1,3,Production,Rejected,HIGH
TR00150,SD,6,12,2,4,Development,Pending,HIGH
TR00151,HR,3,79,1,0,Quality,Approved,MEDIUM
TR00152,SD,3,17,2,2,Production,Rejected,HIGH
TR00153,HR,3,149,0,1,Quality,Pending,MEDIUM
TR00154,SD,3,163,1,0,Quality,Rejected,MEDIUM
TR00155,MM,3,107,2,0,Quality,Approved,HIGH
TR00156,SD,1,238,2,0,Production,Rejected,HIGH
TR00157,MM,1,138,2,0,Development,Pending,HIGH
TR00158,HR,1,264,0,1,Production,Pending,MEDIUM
TR00159,MM,1,116,0,2,Production,Pending,MEDIUM
TR00160,FI,4,29,2,0,Production,Rejected,HIGH
TR00161,MM,2,35,0,3,Quality,Approved,HIGH
TR00162,HR,2,221,2,3,Quality,Pending,HIGH
TR00163,SD,3,262,0,1,Quality,Pending,MEDIUM
TR00164,SD,2,175,1,0,Development,Rejected,MEDIUM
TR00165,SD,1,21,1,1,Quality,Rejected,MEDIUM
TR00166,HR,2,119,0,3,Production,Approved,HIGH
TR00167,HR,2,26,0,1,Production,Pending,LOW
TR00168,FI,2,239,2,0,Production,Rejected,HIGH
TR00169,HR,3,149,2,0,Production,Approved,HIGH
TR00170,HR,4,190,0,1,Production,Pending,MEDIUM
TR00171,SD,4,88,0,0,Production,Approved,MEDIUM
TR00172,SD,1,256,1,3,Development,Rejected,HIGH
TR00173,FI,6,85,2,4,Quality,Rejected,HIGH
TR00174,SD,4,229,0,0,Production,Pending,MEDIUM
TR00175,SD,1,37,1,0,Development,Rejected,MEDIUM
TR00176,HR,1,221,1,4,Quality,Approved,HIGH
TR00177,MM,2,113,0,2,Production,Approved,MEDIUM
TR00178,SD,6,124,1,1,Quality,Pending,MEDIUM
TR00179,HR,4,258,1,1,Quality,Rejected,MEDIUM
TR00180,HR,4,209,0,0,Quality,Rejected,MEDIUM
TR00181,MM,3,56,0,2,Production,Rejected,LOW
TR00182,FI,6,103,0,2,Quality,Rejected,MEDIUM
TR00183,SD,5,209,2,4,Production,Pending,HIGH
TR00184,MM,5,78,2,4,Production,Rejected,HIGH
TR00185,FI,4,14,1,2,Development,Rejected,MEDIUM
TR00186,FI,4,300,0,1,Production,Pending,HIGH
TR00187,FI,1,80,2,2,Development,Rejected,HIGH
TR00188,HR,1,20,0,3,Production,Rejected,HIGH
TR00189,FI,2,44,0,4,Development,Pending,HIGH
TR00190,MM,2,168,0,1,Development,Pending,MEDIUM
TR00191,SD,5,227,2,0,Production,Pending,HIGH
TR00192,SD,2,288,1,3,Production,Rejected,HIGH
TR00193,SD,2,261,2,3,Production,Approved,HIGH
TR00194,FI,5,85,0,4,Quality,Rejected,HIGH
TR00195,HR,5,12,0,3,Development,Approved,HIGH
TR00196,MM,1,295,1,0,Production,Pending,MEDIUM
TR00197,HR,6,180,1,3,Quality,Approved,HIGH
TR00198,MM,4,78,2,4,Development,Rejected,HIGH
TR00199,SD,2,252,2,3,Quality,Pending,HIGH
TR00200,MM,5,259,1,4,Production,Approved,HIGH
TR00201,FI,4,91,2,0,Development,Pending,HIGH
TR00202,HR,4,168,1,4,Quality,Approved,HIGH
TR00203,FI,6,135,0,3,Quality,Approved,HIGH
TR00204,MM,3,195,0,1,Development,Rejected,MEDIUM
TR00205,MM,2,194,2,3,Development,Rejected,HIGH
TR00206,FI,1,83,2,4,Quality,Rejected,HIGH
TR00207,HR,1,125,2,2,Quality,Approved,HIGH
TR00208,FI,5,264,2,1,Development,Pending,HIGH
TR00209,SD,3,206,0,0,Development,Rejected,MEDIUM
TR00210,MM,6,171,0,2,Production,Approved,MEDIUM
TR00211,MM,3,65,1,3,Quality,Pending,HIGH
TR00212,SD,3,106,0,1,Quality,Rejected,MEDIUM
TR00213,HR,4,170,0,3,Production,Rejected,HIGH
TR00214,SD,6,226,1,3,Development,Rejected,HIGH
TR00215,MM,3,286,0,1,Development,Approved,MEDIUM
TR00216,FI,5,236,1,1,Production,Rejected,HIGH
TR00217,FI,3,164,1,3,Development,Pending,HIGH
TR00218,FI,2,281,1,4,Quality,Pending,HIGH
TR00219,SD,1,177,0,2,Production,Approved,MEDIUM
TR00220,HR,3,220,0,1,Production,Approved,MEDIUM
TR00221,FI,2,219,0,1,Production,Pending,HIGH
TR00222,FI,4,129,1,1,Quality,Pending,HIGH
TR00223,MM,1,233,0,2,Production,Approved,MEDIUM
TR00224,SD,5,140,0,2,Quality,Approved,MEDIUM
TR00225,SD,5,268,0,1,Production,Pending,MEDIUM
TR00226,FI,3,32,2,4,Production,Rejected,HIGH
TR00227,MM,6,154,1,1,Development,Pending,MEDIUM
TR00228,HR,5,146,1,1,Quality,Approved,MEDIUM
TR00229,MM,5,65,2,4,Development,Approved,HIGH
TR00230,SD,4,202,0,3,Production,Approved,HIGH
TR00231,MM,4,79,2,3,Quality,Pending,HIGH
TR00232,SD,1,50,0,2,Development,Rejected,LOW
TR00233,HR,4,64,0,4,Quality,Rejected,HIGH
TR00234,HR,4,114,2,2,Quality,Pending,HIGH
TR00235,MM,4,131,1,2,Quality,Rejected,MEDIUM
TR00236,FI,1,99,0,3,Production,Approved,HIGH
TR00237,MM,2,265,0,1,Quality,Approved,MEDIUM
TR00238,SD,1,109,0,1,Development,Pending,MEDIUM
TR00239,SD,4,94,0,2,Development,Approved,MEDIUM
TR00240,MM,5,241,1,4,Development,Pending,HIGH
TR00241,MM,3,187,0,2,Development,Rejected,MEDIUM
TR00242,MM,3,81,2,0,Development,Approved,HIGH
TR00243,SD,5,273,2,1,Development,Rejected,HIGH
TR00244,FI,2,169,1,1,Development,Rejected,HIGH
TR00245,MM,1,157,2,3,Quality,Rejected,HIGH
TR00246,HR,4,274,1,3,Development,Approved,HIGH
TR00247,MM,6,184,0,2,Production,Pending,MEDIUM
TR00248,SD,1,183,2,4,Quality,Approved,HIGH
TR00249,HR,4,269,1,1,Production,Pending,MEDIUM
TR00250,MM,4,20,1,1,Quality,Rejected,MEDIUM
TR00251,FI,3,47,1,2,Development,Rejected,MEDIUM
TR00252,SD,2,112,2,2,Development,Approved,HIGH
TR00253,FI,5,236,2,2,Quality,Rejected,HIGH
TR00254,SD,6,249,1,4,Development,Pending,HIGH
TR00255,FI,1,213,1,2,Production,Rejected,HIGH
TR00256,SD,3,132,1,2,Quality,Rejected,MEDIUM
TR00257,HR,6,78,2,4,Production,Rejected,HIGH
TR00258,MM,2,281,0,0,Production,Approved,MEDIUM
TR00259,FI,4,85,1,4,Quality,Pending,HIGH
TR00260,HR,3,58,1,4,Development,Approved,HIGH
TR00261,SD,1,107,2,4,Quality,Approved,HIGH
TR00262,FI,4,95,2,4,Production,Approved,HIGH
TR00263,HR,3,120,2,4,Quality,Approved,HIGH
TR00264,HR,3,169,2,1,Development,Approved,HIGH
TR00265,HR,3,44,2,3,Development,Approved,HIGH
TR00266,MM,5,250,0,2,Production,Approved,MEDIUM
TR00267,FI,2,88,2,2,Production,Rejected,HIGH
TR00268,MM,4,33,1,0,Quality,Pending,MEDIUM
TR00269,HR,6,119,2,3,Production,Pending,HIGH
TR00270,HR,1,227,0,0,Development,Approved,MEDIUM
TR00271,HR,3,125,1,4,Quality,Rejected,HIGH
TR00272,FI,1,251,0,3,Production,Rejected,HIGH
TR00273,SD,6,189,2,4,Production,Approved,HIGH
TR00274,FI,1,174,0,4,Production,Rejected,HIGH
TR00275,HR,1,126,0,3,Quality,Rejected,HIGH
TR00276,HR,2,226,2,4,Development,Rejected,HIGH
TR00277,MM,2,293,0,0,Quality,Pending,MEDIUM
TR00278,FI,4,139,2,1,Quality,Pending,HIGH
TR00279,HR,6,113,2,1,Development,Pending,HIGH
TR00280,MM,4,281,1,3,Quality,Rejected,HIGH
TR00281,SD,5,150,0,4,Production,Rejected,HIGH
TR00282,MM,4,210,0,3,Quality,Rejected,HIGH
TR00283,MM,1,109,1,2,Development,Approved,MEDIUM
TR00284,HR,6,113,1,2,Quality,Rejected,MEDIUM
TR00285,SD,4,265,2,1,Development,Approved,HIGH
TR00286,HR,1,240,2,0,Development,Pending,HIGH
TR00287,FI,2,173,1,1,Quality,Approved,HIGH
TR00288,MM,3,162,0,2,Development,Rejected,MEDIUM
TR00289,HR,2,113,0,4,Production,Approved,HIGH
TR00290,SD,3,45,1,3,Quality,Rejected,HIGH
TR00291,FI,3,174,0,2,Development,Approved,HIGH
TR00292,MM,4,212,1,3,Development,Rejected,HIGH
TR00293,HR,2,60,1,4,Production,Rejected,HIGH
TR00294,MM,3,288,2,2,Development,Rejected,HIGH
TR00295,FI,5,19,1,3,Quality,Pending,HIGH
TR00296,SD,5,21,0,0,Production,Rejected,LOW
TR00297,FI,3,111,0,3,Production,Approved,HIGH
TR00298,SD,3,283,0,0,Production,Pending,MEDIUM
TR00299,MM,4,144,0,2,Quality,Rejected,MEDIUM
TR00300,MM,1,99,1,3,Development,Approved,HIGH
TR00301,SD,5,107,1,2,Quality,Pending,MEDIUM
TR00302,FI,4,68,0,3,Production,Rejected,HIGH
TR00303,HR,1,11,2,2,Development,Rejected,HIGH
TR00304,MM,1,46,1,0,Quality,Approved,MEDIUM
TR00305,FI,6,109,0,3,Production,Approved,HIGH
TR00306,FI,3,213,0,0,Production,Rejected,HIGH
TR00307,MM,6,201,0,1,Quality,Approved,MEDIUM
TR00308,MM,2,52,0,0,Production,Rejected,LOW
TR00309,SD,4,210,1,0,Quality,Rejected,MEDIUM
TR00310,SD,6,61,1,4,Quality,Pending,HIGH
TR00311,HR,1,119,2,4,Production,Rejected,HIGH
TR00312,FI,3,34,2,4,Production,Approved,HIGH
TR00313,HR,2,18,0,1,Quality,Rejected,LOW
TR00314,SD,4,272,2,0,Production,Pending,HIGH
TR00315,SD,5,123,2,2,Quality,Approved,HIGH
TR00316,HR,6,92,1,0,Quality,Rejected,MEDIUM
TR00317,FI,4,107,0,0,Production,Rejected,MEDIUM
TR00318,FI,5,70,0,4,Production,Approved,HIGH
TR00319,SD,5,37,2,0,Production,Pending,HIGH
TR00320,HR,3,259,2,1,Production,Rejected,HIGH
TR00321,FI,6,193,0,2,Development,Approved,HIGH
TR00322,SD,1,83,2,2,Production,Pending,HIGH
TR00323,HR,4,24,2,3,Quality,Rejected,HIGH
TR00324,FI,1,229,2,3,Development,Pending,HIGH
TR00325,MM,3,127,2,2,Production,Pending,HIGH
TR00326,MM,2,16,1,0,Production,Approved,MEDIUM
TR00327,SD,5,105,0,4,Production,Rejected,HIGH
TR00328,MM,2,265,2,0,Development,Pending,HIGH
TR00329,SD,1,179,0,3,Production,Pending,HIGH
TR00330,SD,4,214,0,2,Quality,Pending,MEDIUM
TR00331,HR,3,149,2,4,Development,Rejected,HIGH
TR00332,FI,6,125,2,0,Quality,Approved,HIGH
TR00333,HR,2,92,1,0,Development,Pending,MEDIUM
TR00334,FI,5,50,1,1,Production,Approved,MEDIUM
TR00335,FI,5,164,2,4,Development,Pending,HIGH
TR00336,MM,6,71,0,1,Production,Rejected,LOW
TR00337,FI,2,156,2,3,Production,Approved,HIGH
TR00338,SD,6,175,1,4,Development,Rejected,HIGH
TR00339,SD,5,97,2,1,Production,Approved,HIGH
TR00340,FI,6,71,1,2,Quality,Approved,MEDIUM
TR00341,HR,6,20,0,0,Production,Approved,LOW
TR00342,HR,6,260,2,1,Quality,Approved,HIGH
TR00343,SD,3,223,0,3,Development,Rejected,HIGH
TR00344,SD,2,220,2,3,Production,Pending,HIGH
TR00345,FI,5,149,2,2,Quality,Rejected,HIGH
TR00346,SD,4,148,1,2,Development,Pending,MEDIUM
TR00347,FI,2,73,0,3,Development,Pending,HIGH
TR00348,HR,1,62,2,2,Development,Pending,HIGH
TR00349,HR,5,277,0,0,Development,Pending,MEDIUM
TR00350,HR,1,268,1,0,Development,Pending,MEDIUM
TR00351,HR,6,125,0,0,Production,Rejected,MEDIUM
TR00352,HR,4,86,1,4,Production,Rejected,HIGH
TR00353,MM,1,208,0,1,Production,Pending,MEDIUM
TR00354,HR,4,185,2,1,Quality,Pending,HIGH
TR00355,MM,3,260,1,4,Development,Approved,HIGH
TR00356,HR,6,81,1,2,Development,Pending,MEDIUM
TR00357,MM,1,215,0,4,Production,Pending,HIGH
TR00358,SD,5,58,1,2,Production,Approved,MEDIUM
TR00359,FI,3,210,1,3,Production,Approved,HIGH
TR00360,MM,2,257,2,4,Development,Rejected,HIGH
TR00361,SD,6,47,2,4,Quality,Approved,HIGH
TR00362,FI,2,20,2,2,Quality,Approved,HIGH
TR00363,MM,5,55,2,3,Production,Approved,HIGH
TR00364,HR,2,109,0,1,Development,Pending,MEDIUM
TR00365,MM,6,296,2,0,Quality,Rejected,HIGH
TR00366,HR,1,260,1,3,Development,Pending,HIGH
TR00367,MM,4,201,0,2,Quality,Pending,MEDIUM
TR00368,FI,1,85,2,3,Quality,Pending,HIGH
TR00369,SD,3,73,0,2,Development,Approved,LOW
TR00370,MM,6,148,2,4,Quality,Approved,HIGH
TR00371,SD,4,55,2,1,Production,Pending,HIGH
TR00372,SD,5,137,0,0,Development,Rejected,MEDIUM
TR00373,HR,2,99,2,4,Quality,Rejected,HIGH
TR00374,MM,4,121,2,0,Development,Pending,HIGH
TR00375,MM,1,115,1,3,Development,Pending,HIGH
TR00376,FI,1,13,1,3,Quality,Pending,HIGH
TR00377,FI,4,212,2,4,Development,Approved,HIGH
TR00378,FI,4,266,0,4,Quality,Pending,HIGH
TR00379,HR,1,106,1,3,Development,Approved,HIGH
TR00380,SD,6,300,0,2,Production,Rejected,MEDIUM
TR00381,HR,1,167,2,0,Development,Approved,HIGH
TR00382,FI,1,59,1,4,Quality,Pending,HIGH
TR00383,FI,1,235,1,1,Development,Pending,HIGH
TR00384,FI,2,100,1,2,Production,Pending,MEDIUM
TR00385,MM,6,29,1,2,Production,Pending,MEDIUM
TR00386,SD,6,234,1,3,Quality,Approved,HIGH
TR00387,HR,4,156,2,2,Production,Rejected,HIGH
TR00388,SD,3,19,2,4,Production,Approved,HIGH
TR00389,MM,5,123,0,1,Quality,Pending,MEDIUM
TR00390,HR,2,62,2,0,Production,Rejected,HIGH
TR00391,SD,1,117,1,0,Production,Approved,MEDIUM
TR00392,MM,2,237,2,0,Quality,Rejected,HIGH
TR00393,MM,2,21,1,2,Quality,Approved,MEDIUM
TR00394,MM,1,219,2,1,Quality,Approved,HIGH
TR00395,SD,2,131,1,1,Quality,Pending,MEDIUM
TR00396,HR,2,116,2,3,Development,Pending,HIGH
TR00397,FI,5,140,1,2,Production,Pending,HIGH
TR00398,MM,2,126,2,3,Production,Pending,HIGH
TR00399,MM,4,177,1,0,Production,Pending,MEDIUM
TR00400,MM,2,249,0,0,Production,Approved,MEDIUM
TR00401,MM,4,226,1,1,Quality,Pending,MEDIUM
TR00402,SD,2,263,2,1,Quality,Pending,HIGH
TR00403,SD,3,103,1,2,Production,Rejected,MEDIUM
TR00404,SD,1,238,2,3,Quality,Approved,HIGH
TR00405,HR,3,260,0,2,Quality,Pending,MEDIUM
TR00406,MM,2,39,1,2,Development,Pending,MEDIUM
TR00407,HR,6,94,2,2,Quality,Approved,HIGH
TR00408,SD,2,79,1,4,Development,Approved,HIGH
TR00409,SD,1,152,1,1,Production,Rejected,MEDIUM
TR00410,HR,1,163,1,4,Quality,Pending,HIGH
TR00411,FI,6,282,0,2,Quality,Approved,HIGH
TR00412,HR,3,18,2,1,Quality,Pending,HIGH
TR00413,FI,6,206,0,2,Development,Pending,HIGH
TR00414,HR,3,184,0,2,Development,Pending,MEDIUM
TR00415,SD,5,199,2,3,Quality,Approved,HIGH
TR00416,FI,1,216,0,1,Development,Rejected,HIGH
TR00417,HR,5,162,2,4,Development,Pending,HIGH
TR00418,SD,1,98,2,4,Production,Approved,HIGH
TR00419,MM,1,160,1,1,Development,Approved,MEDIUM
TR00420,SD,6,261,1,3,Production,Rejected,HIGH
TR00421,HR,3,62,1,4,Development,Rejected,HIGH
TR00422,SD,5,66,1,4,Production,Rejected,HIGH
TR00423,HR,1,41,1,4,Development,Pending,HIGH
TR00424,SD,2,241,0,3,Quality,Rejected,HIGH
TR00425,SD,1,112,2,4,Development,Rejected,HIGH
TR00426,SD,2,28,0,4,Development,Approved,HIGH
TR00427,MM,1,34,2,0,Production,Pending,HIGH
TR00428,FI,3,244,0,1,Development,Rejected,HIGH
TR00429,MM,1,87,2,0,Production,Approved,HIGH
TR00430,FI,1,131,1,3,Production,Rejected,HIGH
TR00431,MM,2,75,1,4,Quality,Pending,HIGH
TR00432,HR,4,262,2,1,Production,Approved,HIGH
TR00433,HR,4,294,2,0,Development,Approved,HIGH
TR00434,FI,3,182,2,0,Production,Rejected,HIGH
TR00435,HR,4,59,0,4,Quality,Approved,HIGH
TR00436,MM,2,170,2,4,Development,Rejected,HIGH
TR00437,FI,4,107,1,0,Development,Approved,MEDIUM
TR00438,HR,2,88,0,3,Development,Rejected,HIGH
TR00439,SD,2,190,0,0,Quality,Pending,MEDIUM
TR00440,HR,2,189,1,0,Quality,Pending,MEDIUM
TR00441,HR,5,55,2,2,Production,Pending,HIGH
TR00442,MM,2,256,2,3,Development,Rejected,HIGH
TR00443,FI,3,79,1,4,Development,Rejected,HIGH
TR00444,HR,6,31,0,4,Production,Rejected,HIGH
TR00445,SD,4,21,0,2,Production,Rejected,LOW
TR00446,MM,3,189,1,0,Development,Pending,MEDIUM
TR00447,MM,3,252,0,1,Development,Rejected,MEDIUM
TR00448,FI,2,132,1,0,Production,Approved,HIGH
TR00449,FI,3,173,0,1,Production,Approved,HIGH
TR00450,MM,2,89,2,0,Development,Approved,HIGH
TR00451,SD,4,252,0,3,Development,Rejected,HIGH
TR00452,SD,5,175,1,1,Quality,Approved,MEDIUM
TR00453,MM,4,234,0,4,Production,Rejected,HIGH
TR00454,HR,6,283,0,4,Production,Approved,HIGH
TR00455,HR,4,264,1,3,Quality,Pending,HIGH
TR00456,MM,2,175,0,4,Development,Rejected,HIGH
TR00457,HR,1,172,1,4,Quality,Pending,HIGH
TR00458,SD,6,191,1,1,Development,Approved,MEDIUM
TR00459,HR,2,45,1,0,Quality,Rejected,MEDIUM
TR00460,HR,1,60,2,1,Development,Approved,HIGH
TR00461,FI,6,212,1,1,Quality,Pending,HIGH
TR00462,HR,2,183,0,1,Production,Approved,MEDIUM
TR00463,MM,1,74,0,4,Production,Approved,HIGH
TR00464,SD,6,168,1,3,Development,Approved,HIGH
TR00465,MM,3,76,2,2,Quality,Pending,HIGH
TR00466,FI,1,99,0,2,Production,Approved,MEDIUM
TR00467,MM,6,229,1,4,Quality,Approved,HIGH
TR00468,MM,4,262,1,4,Quality,Pending,HIGH
TR00469,SD,1,100,0,0,Quality,Approved,MEDIUM
TR00470,MM,1,19,2,4,Production,Approved,HIGH
TR00471,FI,5,49,0,4,Production,Approved,HIGH
TR00472,SD,2,298,0,0,Development,Approved,MEDIUM
TR00473,MM,6,228,0,3,Development,Rejected,HIGH
TR00474,MM,5,198,1,3,Development,Rejected,HIGH
TR00475,FI,2,224,1,3,Production,Rejected,HIGH
